v -0.875648	-3.58804	2.70487	
v -0.607912	-3.98571	2.33024	
v -0.909217	-3.64892	2.30804	
v -0.607912	-3.98571	2.33024	
v -0.574342	-3.92483	2.72707	
v -0.212109	-3.88711	2.27367	
v -0.212109	-3.88711	2.27367	
v -0.17854	-3.82623	2.6705	
v 0.183693	-3.7885	2.2171	
v 0.183693	-3.7885	2.2171	
v 0.217262	-3.72762	2.61394	
v 0.579495	-3.68989	2.16053	
v 0.579495	-3.68989	2.16053	
v 0.613064	-3.62901	2.55737	
v 0.975297	-3.59128	2.10396	
v 0.975297	-3.59128	2.10396	
v 1.00887	-3.5304	2.5008	
v 1.3711	-3.49268	2.0474	
v 1.3711	-3.49268	2.0474	
v 1.40467	-3.4318	2.44423	
v 1.7669	-3.39407	1.99083	
v 1.40467	-3.4318	2.44423	
v 1.80047	-3.33319	2.38766	
v 1.7669	-3.39407	1.99083	
v 1.7669	-3.39407	1.99083	
v 1.80047	-3.33319	2.38766	
v 2.1627	-3.29546	1.93426	
v 1.80047	-3.33319	2.38766	
v 2.19627	-3.23458	2.33109	
v 2.1627	-3.29546	1.93426	
v 2.2572	-2.86006	1.85549	
v 2.59208	-3.13597	2.27452	
v 2.47189	-2.78032	2.02562	
v 2.2572	-2.86006	1.85549	
v 2.1627	-3.29546	1.93426	
v 2.59208	-3.13597	2.27452	
v 2.1627	-3.29546	1.93426	
v 2.19627	-3.23458	2.33109	
v 2.59208	-3.13597	2.27452	
v 2.2572	-2.86006	1.85549	
v 2.47189	-2.78032	2.02562	
v 2.3517	-2.42466	1.77672	
v 2.47189	-2.78032	2.02562	
v 2.78107	-2.26517	2.11699	
v 2.3517	-2.42466	1.77672	
v 2.3517	-2.42466	1.77672	
v 2.78107	-2.26517	2.11699	
v 2.7475	-2.32606	1.72015	
v 2.7475	-2.32606	1.72015	
v 2.78107	-2.26517	2.11699	
v 3.1433	-2.22745	1.66358	
v 2.78107	-2.26517	2.11699	
v 3.17687	-2.16657	2.06042	
v 3.1433	-2.22745	1.66358	
v 3.1433	-2.22745	1.66358	
v 3.17687	-2.16657	2.06042	
v 3.5391	-2.12884	1.60701	
v 3.17687	-2.16657	2.06042	
v 3.57267	-2.06796	2.00385	
v 3.5391	-2.12884	1.60701	
v 3.57267	-2.06796	2.00385	
v 3.6336	-1.69344	1.52825	
v 3.5391	-2.12884	1.60701	
v -3.71547	-1.0532	2.187	
v -3.44773	-1.45087	1.81237	
v -3.74903	-1.11408	1.79017	
v -3.74903	-1.11408	1.79017	
v -3.95584	-0.341887	1.6892	
v -3.71547	-1.0532	2.187	
v -2.90604	-2.49897	2.33237	
v -2.63831	-2.89664	1.95774	
v -2.93961	-2.55985	1.93554	
v -2.60474	-2.83576	2.35457	
v -2.63831	-2.89664	1.95774	
v -2.90604	-2.49897	2.33237	
v -2.93961	-2.55985	1.93554	
v -3.14642	-1.78766	1.83457	
v -2.90604	-2.49897	2.33237	
v -3.14642	-1.78766	1.83457	
v -3.11285	-1.72678	2.2314	
v -2.90604	-2.49897	2.33237	
v -3.14642	-1.78766	1.83457	
v -3.44773	-1.45087	1.81237	
v -3.11285	-1.72678	2.2314	
v -2.30343	-3.17255	2.37677	
v -2.0357	-3.57023	2.00214	
v -2.337	-3.23343	1.97994	
v -2.00213	-3.50935	2.39898	
v -2.0357	-3.57023	2.00214	
v -2.30343	-3.17255	2.37677	
v -2.63831	-2.89664	1.95774	
v -2.60474	-2.83576	2.35457	
v -2.30343	-3.17255	2.37677	
v -2.337	-3.23343	1.97994	
v -2.63831	-2.89664	1.95774	
v -2.30343	-3.17255	2.37677	
v -2.0357	-3.57023	2.00214	
v -2.00213	-3.50935	2.39898	
v -1.63989	-3.47162	1.94557	
v -2.00213	-3.50935	2.39898	
v -1.60633	-3.41074	2.34241	
v -1.63989	-3.47162	1.94557	
v -1.63989	-3.47162	1.94557	
v -1.60633	-3.41074	2.34241	
v -1.24409	-3.37301	1.889	
v -1.60633	-3.41074	2.34241	
v -1.21052	-3.31213	2.28584	
v -1.24409	-3.37301	1.889	
v -0.909217	-3.64892	2.30804	
v -0.641481	-4.04659	1.9334	
v -0.942787	-3.7098	1.9112	
v -0.607912	-3.98571	2.33024	
v -0.641481	-4.04659	1.9334	
v -0.909217	-3.64892	2.30804	
v -1.24409	-3.37301	1.889	
v -1.21052	-3.31213	2.28584	
v -0.909217	-3.64892	2.30804	
v -0.942787	-3.7098	1.9112	
v -1.24409	-3.37301	1.889	
v -0.909217	-3.64892	2.30804	
v -0.641481	-4.04659	1.9334	
v -0.607912	-3.98571	2.33024	
v -0.245679	-3.94799	1.87684	
v -0.607912	-3.98571	2.33024	
v -0.212109	-3.88711	2.27367	
v -0.245679	-3.94799	1.87684	
v -0.245679	-3.94799	1.87684	
v -0.212109	-3.88711	2.27367	
v 0.150124	-3.84938	1.82027	
v -0.212109	-3.88711	2.27367	
v 0.183693	-3.7885	2.2171	
v 0.150124	-3.84938	1.82027	
v 0.150124	-3.84938	1.82027	
v 0.183693	-3.7885	2.2171	
v 0.545926	-3.75077	1.7637	
v 0.183693	-3.7885	2.2171	
v 0.579495	-3.68989	2.16053	
v 0.545926	-3.75077	1.7637	
v 0.545926	-3.75077	1.7637	
v 0.579495	-3.68989	2.16053	
v 0.941728	-3.65216	1.70713	
v 0.579495	-3.68989	2.16053	
v 0.975297	-3.59128	2.10396	
v 0.941728	-3.65216	1.70713	
v 0.941728	-3.65216	1.70713	
v 0.975297	-3.59128	2.10396	
v 1.33753	-3.55355	1.65056	
v 0.975297	-3.59128	2.10396	
v 1.3711	-3.49268	2.0474	
v 1.33753	-3.55355	1.65056	
v 1.43203	-3.11816	1.57179	
v 1.7669	-3.39407	1.99083	
v 1.64671	-3.03841	1.74193	
v 1.43203	-3.11816	1.57179	
v 1.33753	-3.55355	1.65056	
v 1.7669	-3.39407	1.99083	
v 1.33753	-3.55355	1.65056	
v 1.3711	-3.49268	2.0474	
v 1.7669	-3.39407	1.99083	
v 1.43203	-3.11816	1.57179	
